# id	platform	package	suite	test	source
android-completion-waiters	linux	haider-android	lib	concurrent_waiters_share_the_same_failure_receipt	crates/haider-android/src/completion_tests.rs
store-menu-answer-race	linux	haider-store	test:menu_resolution_tests	n_way_race_commits_exactly_one_answer_and_returns_one_resolution_coordinate	crates/haider-store/tests/menu_resolution_tests.rs
store-queue-remove-race	linux	haider-store	test:queue_control_tests	two_same_revision_removes_race_to_exactly_one_commit	crates/haider-store/tests/queue_control_tests.rs
store-session-create-race	linux	haider-store	test:session_create_tests	concurrent_same_command_has_one_committed_session_and_one_idempotent_replay	crates/haider-store/tests/session_create_tests.rs
store-concurrent-appends	linux	haider-store	test:store_tests	concurrent_appends_serialize_on_the_persistent_connection	crates/haider-store/tests/store_tests.rs
store-concurrent-cas	linux	haider-store	test:store_tests	concurrent_cas_puts_of_identical_content_publish_one_verified_object	crates/haider-store/tests/store_tests.rs
store-graph-signal	linux	haider-store	test:graph_tests	process_signal_binds_to_its_outcome_revision_across_interleaved_mutation	crates/haider-store/tests/graph_tests.rs
store-graph-switch-race	linux	haider-store	test:graph_tests	m2b_switch_racing_evidence_has_only_total_ordered_outcomes	crates/haider-store/tests/graph_tests.rs
store-turn-submit	linux	haider-store	test:turn_command_tests	concurrent_submit_has_one_commit_and_one_replay	crates/haider-store/tests/turn_command_tests.rs
store-turn-retract	linux	haider-store	test:turn_command_tests	retract_first_response_serialization_proves_both_race_orders	crates/haider-store/tests/turn_command_tests.rs
store-cas-denied-link	linux	haider-store	lib	denied_link_concurrent_publishers_never_expose_partial_bytes	crates/haider-store/src/cas_publication_tests.rs
store-cas-racing-winner	linux	haider-store	lib	denied_link_rename_never_replaces_a_corrupt_racing_winner	crates/haider-store/src/cas_publication_tests.rs
store-group-commit	linux	haider-store	lib	queued_concurrent_sessions_commit_in_arrival_order	crates/haider-store/src/event_store/group_commit_tests.rs
store-streamed-cas	linux	haider-store	lib	streamed_cas_publication_racing_legacy_put_and_file_put_still_syncs_shard	crates/haider-store/src/cas_tests.rs
core-backoff-wake-race	linux	haider-core	test:m4_retry_tests	m4_natural_backoff_completion_racing_wake_never_double_fires	crates/haider-core/tests/m4_retry_tests.rs
core-prompt-history-interleaving	linux	haider-core	test:prompt_history_tests	prompt_cache_extends_interleaved_agents_from_exact_heads	crates/haider-core/tests/prompt_history_tests.rs
core-delta-interleaving	linux	haider-core	test:delta_coalescing_tests	interleaved_delta_kinds_flush_as_ordered_separate_envelopes	crates/haider-core/tests/delta_coalescing_tests.rs
platform-temp-initialization	macos	haider-platform	lib	concurrent_first_temp_initialization_is_idempotent_but_path_is_immutable	crates/haider-platform/src/native_temp_tests.rs
platform-phase-accounting	linux	haider-platform	lib	suspended_future_does_not_charge_interleaved_work	crates/haider-platform/src/phase_trace.rs
platform-process-writers	macos	haider-platform	lib	concurrent_process_writers_have_isolated_uncorrupted_lines	crates/haider-platform/src/spawn.rs
protocol-reasoning-interleaving	linux	haider-protocol	lib	sealed_reasoning_attaches_to_the_correct_interleaved_turn	crates/haider-protocol/src/pipe.rs
daemond-replay-lanes	linux	haider-daemond	test:session_rpc_tests	five_concurrent_replay_lanes_on_one_connection_never_lag_a_reading_client	crates/haider-daemond/tests/session_rpc_tests.rs
daemond-menu-answer-race	linux	haider-daemond	test:live_turn_rpc_tests	scenario_7_two_menu_answers_race_and_only_first_commit_wins	crates/haider-daemond/tests/live_turn_rpc_tests.rs
daemond-process-logs	macos	haider-daemond	test:diagnostic_log_tests	concurrent_real_daemons_have_distinct_logs_with_intact_lines	crates/haider-daemond/tests/diagnostic_log_tests.rs
daemond-simultaneous-start	macos	haider-daemond	test:lifecycle_tests	simultaneous_start_n_processes_has_one_winner_and_clean_losers	crates/haider-daemond/tests/lifecycle_tests.rs
daemond-shutdown-connections	macos	haider-daemond	test:lifecycle_tests	connections_racing_the_shutdown_request_are_torn_down_completely	crates/haider-daemond/tests/lifecycle_tests.rs
daemond-endpoint-replacement	macos	haider-daemond	test:lifecycle_tests	endpoint_replacement_racing_cleanup_is_never_deleted	crates/haider-daemond/tests/lifecycle_tests.rs
accounts-vault-replacement	linux	haider-accounts	lib	hav1_concurrent_replacements_preserve_complete_authenticated_records	crates/haider-accounts/src/encrypted_file_vault_tests.rs
daemon-cursors	linux	haider-daemon	test:session_hub_tests	many_concurrent_cursors_each_receive_their_exact_suffix	crates/haider-daemon/tests/session_hub_tests.rs
daemon-menu-answer-race	linux	haider-daemon	test:session_hub_tests	n_way_menu_answer_race_has_one_streamed_winner_and_correlated_losers	crates/haider-daemon/tests/session_hub_tests.rs
daemon-shell-cleanup-race	linux	haider-daemon	lib	terminal_turn_cleanup_race_defers_one_owned_shell_handoff	crates/haider-daemon/src/permissions_core_tests.rs
daemon-oauth-callback-replay	linux	haider-daemon	lib	simultaneous_callback_replay_allows_exactly_one_code_exchange	crates/haider-daemon/src/oauth_tests.rs
